channel_0,tag0,tag1
channel_1,tag1,tag2
channel_2,tag2,tag3
channel_3,tag3,tag4
channel_4,tag4,tag5
channel_5,tag5,tag6
channel_6,tag6,tag7
channel_7,tag7,tag8
channel_8,tag8,tag9
channel_9,tag9,tag10
channel_10,tag10,tag11
channel_11,tag11,tag12
channel_12,tag12,tag13
channel_13,tag13,tag14
channel_14,tag14,tag15
channel_15,tag15,tag16
channel_16,tag16,tag17
channel_17,tag17,tag18
channel_18,tag18,tag19
channel_19,tag19,tag20
channel_20,tag20,tag21
channel_21,tag21,tag22
channel_22,tag22,tag23
channel_23,tag23,tag24
channel_24,tag24,tag25
channel_25,tag25,tag26
channel_26,tag26,tag27
channel_27,tag27,tag28
channel_28,tag28,tag29
channel_29,tag29,tag30
channel_30,tag30,tag31
channel_31,tag31,tag32
channel_32,tag32,tag33
channel_33,tag33,tag34
channel_34,tag34,tag35
channel_35,tag35,tag36
channel_36,tag36,tag37
channel_37,tag37,tag38
channel_38,tag38,tag39
channel_39,tag39,tag40
channel_40,tag40,tag41
channel_41,tag41,tag42
channel_42,tag42,tag43
channel_43,tag43,tag44
channel_44,tag44,tag45
channel_45,tag45,tag46
channel_46,tag46,tag47
channel_47,tag47,tag48
channel_48,tag48,tag49
channel_49,tag49,tag50
channel_50,tag50,tag51
channel_51,tag51,tag52
channel_52,tag52,tag53
channel_53,tag53,tag54
channel_54,tag54,tag55
channel_55,tag55,tag56
channel_56,tag56,tag57
channel_57,tag57,tag58
channel_58,tag58,tag59
channel_59,tag59,tag60
channel_60,tag60,tag61
channel_61,tag61,tag62
channel_62,tag62,tag63
channel_63,tag63,tag64
channel_64,tag64,tag65
channel_65,tag65,tag66
channel_66,tag66,tag67
channel_67,tag67,tag68
channel_68,tag68,tag69
channel_69,tag69,tag70
channel_70,tag70,tag71
channel_71,tag71,tag72
channel_72,tag72,tag73
channel_73,tag73,tag74
channel_74,tag74,tag75
channel_75,tag75,tag76
channel_76,tag76,tag77
channel_77,tag77,tag78
channel_78,tag78,tag79
channel_79,tag79,tag80
channel_80,tag80,tag81
channel_81,tag81,tag82
channel_82,tag82,tag83
channel_83,tag83,tag84
channel_84,tag84,tag85
channel_85,tag85,tag86
channel_86,tag86,tag87
channel_87,tag87,tag88
channel_88,tag88,tag89
channel_89,tag89,tag90
channel_90,tag90,tag91
channel_91,tag91,tag92
channel_92,tag92,tag93
channel_93,tag93,tag94
channel_94,tag94,tag95
channel_95,tag95,tag96
channel_96,tag96,tag97
channel_97,tag97,tag98
channel_98,tag98,tag99
channel_99,tag99,tag100
